"","experiment","value","method","replicate","Beta_SSE","test_R2","test_SSE","test_SST"
"1","r",10,"glmnet",1,709.329348936728,0.674289786060061,3572497.40379365,10968330.8993571
"2","r",10,"glmnet",10,733.091110962332,0.668458867984501,3622505.05178092,10926261.3352348
"3","r",10,"glmnet",11,746.375630773257,0.668806836771464,3642662.32257954,10998603.6156971
"4","r",10,"glmnet",12,742.687354262887,0.671927548082824,3635786.61864463,11082267.3388088
"5","r",10,"glmnet",13,705.525565249024,0.674119098368704,3593723.33242022,11027719.9873657
"6","r",10,"glmnet",14,690.80695064384,0.675110403699432,3587957.16974686,11043619.7729998
"7","r",10,"glmnet",15,774.562967911705,0.667823673905045,3679158.02441526,11075918.8280129
"8","r",10,"glmnet",16,705.218441819503,0.671743404672394,3607524.31981967,10989952.284795
"9","r",10,"glmnet",17,733.887242526616,0.673449026953628,3619883.70649731,11085202.633842
"10","r",10,"glmnet",18,720.298910844076,0.670079892283939,3637118.70418549,11024240.7756356
"11","r",10,"glmnet",19,687.025379276587,0.672531647473633,3613217.94219025,11033792.7751334
"12","r",10,"glmnet",2,706.844943612385,0.67143554702225,3615286.94352348,11003280.8198162
"13","r",10,"glmnet",20,700.039926293847,0.671645525170429,3608411.77931766,10989379.0276212
"14","r",10,"glmnet",21,689.304331649046,0.676588605261141,3575451.90076848,11055429.5826698
"15","r",10,"glmnet",22,746.416825118541,0.671379810726622,3604925.52535982,10969884.5141888
"16","r",10,"glmnet",23,708.002085700121,0.676975403027988,3604720.31650181,11159275.0220632
"17","r",10,"glmnet",24,747.918787377321,0.668621623603592,3624809.61213206,10938582.2078986
"18","r",10,"glmnet",25,779.45691720718,0.667778871289066,3617289.50086027,10888198.2157362
"19","r",10,"glmnet",26,749.265833525989,0.666199832118111,3668457.66423786,10989981.48358
"20","r",10,"glmnet",27,774.163118741129,0.667244993991868,3660790.25106158,11001458.084667
"21","r",10,"glmnet",28,686.000277340614,0.674913579393588,3616113.56087901,11123545.4071984
"22","r",10,"glmnet",29,704.705572477368,0.670598369557865,3661688.85129547,11116183.1420829
"23","r",10,"glmnet",3,715.366186709935,0.671485638523666,3609061.47833183,10986008.228416
"24","r",10,"glmnet",30,724.274199578303,0.672846428596537,3598014.66851257,10997937.9197279
"25","r",10,"glmnet",31,741.816883443393,0.671458893962887,3634778.17663338,11063389.3593296
"26","r",10,"glmnet",32,749.755287121093,0.670030638331333,3651428.36472665,11065961.8404001
"27","r",10,"glmnet",33,770.158613334072,0.670293540716738,3667928.16934793,11124829.5751364
"28","r",10,"glmnet",34,791.948246955099,0.669858814739961,3666602.29908704,11106164.4617257
"29","r",10,"glmnet",35,729.568384900168,0.668321122893038,3668667.42473189,11060901.6067936
"30","r",10,"glmnet",36,730.461271768885,0.669059532641086,3604640.26923421,10892110.8923342
"31","r",10,"glmnet",37,753.301949669015,0.669307447269392,3630097.10945322,10977256.9097146
"32","r",10,"glmnet",38,711.425449070913,0.673921590675554,3588175.84923121,11004027.7020028
"33","r",10,"glmnet",39,695.720654666721,0.67506288865163,3582079.74578159,11023917.0001767
"34","r",10,"glmnet",4,704.481317584488,0.675817793425748,3574090.29109613,11024942.8210907
"35","r",10,"glmnet",40,704.35207649139,0.671919391669637,3577046.37289462,10902949.7083006
"36","r",10,"glmnet",41,715.951464952726,0.671099205510686,3596950.22829484,10936277.1041032
"37","r",10,"glmnet",42,754.571677715296,0.669481520377302,3602901.92471341,10900757.8905309
"38","r",10,"glmnet",43,634.753877035696,0.678283350778182,3482808.99526104,10825703.3127922
"39","r",10,"glmnet",44,734.406103002507,0.672316053251002,3617792.27153485,11040492.8511986
"40","r",10,"glmnet",45,756.904814285577,0.67075505268299,3636479.28013022,11044905.3501461
"41","r",10,"glmnet",46,705.977968522943,0.67401363225399,3582612.72538549,10990069.155827
"42","r",10,"glmnet",47,770.250904771537,0.667313676984069,3671095.04019333,11034703.8222474
"43","r",10,"glmnet",48,755.902813602775,0.665160266944328,3657458.88667457,10923013.3870238
"44","r",10,"glmnet",49,692.610022361795,0.675550646783729,3553872.4227026,10953550.646574
"45","r",10,"glmnet",5,725.388122809327,0.671248678423937,3623052.58187011,11020647.9612033
"46","r",10,"glmnet",50,731.822566060058,0.669272096286302,3637332.2478856,10997959.9756854
"47","r",10,"glmnet",6,719.215653755448,0.671960088540481,3603468.52137758,10984847.8660569
"48","r",10,"glmnet",7,709.576846772613,0.672583693828605,3580271.86281272,10934922.2849595
"49","r",10,"glmnet",8,707.669860098787,0.672173265663966,3604851.06909026,10996208.3366733
"50","r",10,"glmnet",9,709.611526589116,0.674588760980956,3607754.34800681,11086753.9759304
"51","r",10,"MultiLORS",1,391.221603403322,0.710431554754574,3176082.5254642,10968330.8993571
"52","r",10,"MultiLORS",10,405.244134480141,0.707721742721369,3193508.62163331,10926261.3352348
"53","r",10,"MultiLORS",11,400.619768238201,0.708531718687803,3205744.09270136,10998603.6156971
"54","r",10,"MultiLORS",12,388.690916273423,0.710714712955024,3205936.88821645,11082267.3388088
"55","r",10,"MultiLORS",13,368.769339277309,0.712011691157748,3175854.42954737,11027719.9873657
"56","r",10,"MultiLORS",14,369.811829172549,0.711458107446946,3186546.94993768,11043619.7729998
"57","r",10,"MultiLORS",15,404.924496857763,0.708775179973368,3225582.46731764,11075918.8280129
"58","r",10,"MultiLORS",16,367.348457751488,0.712825791708923,3156030.84654273,10989952.284795
"59","r",10,"MultiLORS",17,387.602645994592,0.712943794027015,3182076.21051242,11085202.633842
"60","r",10,"MultiLORS",18,401.733262799372,0.709030953816175,3207712.82338752,11024240.7756356
"61","r",10,"MultiLORS",19,371.413193367934,0.710546288131295,3193772.27475246,11033792.7751334
"62","r",10,"MultiLORS",2,392.562561232423,0.709525847663276,3196168.66905905,11003280.8198162
"63","r",10,"MultiLORS",20,361.23911413579,0.709802070430708,3189095.04106787,10989379.0276212
"64","r",10,"MultiLORS",21,372.813888905067,0.712366796683781,3179908.6249002,11055429.5826698
"65","r",10,"MultiLORS",22,433.603409108176,0.707032061412845,3213824.45266104,10969884.5141888
"66","r",10,"MultiLORS",23,399.155455339041,0.71205182107368,3213292.92074107,11159275.0220632
"67","r",10,"MultiLORS",24,390.19010468318,0.710468371010806,3167065.52548509,10938582.2078986
"68","r",10,"MultiLORS",25,396.929841918191,0.710334356350182,3153936.94434804,10888198.2157362
"69","r",10,"MultiLORS",26,395.272545931665,0.7065479095832,3225033.03999848,10989981.48358
"70","r",10,"MultiLORS",27,419.653773891784,0.707717345065181,3215535.3771406,11001458.084667
"71","r",10,"MultiLORS",28,373.984577450896,0.713660041768863,3185115.52727934,11123545.4071984
"72","r",10,"MultiLORS",29,385.123325045389,0.711276260987617,3209505.96032858,11116183.1420829
"73","r",10,"MultiLORS",3,380.097736806767,0.709420602728652,3192307.64943119,10986008.228416
"74","r",10,"MultiLORS",30,372.304815706995,0.712002520509962,3167378.40046957,10997937.9197279
"75","r",10,"MultiLORS",31,395.034758429004,0.710255340880469,3205557.9786256,11063389.3593296
"76","r",10,"MultiLORS",32,403.343936715161,0.709788493513082,3211469.45642926,11065961.8404001
"77","r",10,"MultiLORS",33,415.306041778432,0.709398471169008,3232892.48251887,11124829.5751364
"78","r",10,"MultiLORS",34,418.574792305961,0.70944181930291,3226986.94052169,11106164.4617257
"79","r",10,"MultiLORS",35,385.557720541705,0.709043131364676,3218245.29579609,11060901.6067936
"80","r",10,"MultiLORS",36,390.41535996475,0.710650228849326,3151629.79404467,10892110.8923342
"81","r",10,"MultiLORS",37,424.997243027513,0.709247838174567,3191661.17741268,10977256.9097146
"82","r",10,"MultiLORS",38,371.650036986946,0.710862741412839,3181674.40317426,11004027.7020028
